#Perc	time	N	Ekin	Epot	Eges
0.5%	5.05	5	0.692413	11.8111	12.5035
0.5%	5.06	5	0.691107	11.8124	12.5035
0.5%	5.07	5	0.689811	11.8137	12.5035
0.5%	5.08	5	0.688527	11.815	12.5035
0.5%	5.09	5	0.68726	11.8162	12.5035
0.5%	5.1	5	0.686013	11.8175	12.5035
0.5%	5.11	5	0.684791	11.8187	12.5035
0.5%	5.12	5	0.683597	11.8199	12.5035
0.5%	5.13	5	0.682436	11.821	12.5035
0.5%	5.14	5	0.68131	11.8222	12.5035
0.5%	5.15	5	0.680226	11.8233	12.5035
0.5%	5.16	5	0.679185	11.8243	12.5035
0.5%	5.17	5	0.678194	11.8253	12.5035
0.5%	5.18	5	0.677255	11.8262	12.5035
0.5%	5.19	5	0.676373	11.8271	12.5035
0.5%	5.2	5	0.675552	11.8279	12.5035
0.5%	5.21	5	0.674796	11.8287	12.5035
0.5%	5.22	5	0.674109	11.8294	12.5035
0.5%	5.23	5	0.673495	11.83	12.5035
0.5%	5.24	5	0.672958	11.8305	12.5035
0.5%	5.25	5	0.672502	11.831	12.5035
0.5%	5.26	5	0.67213	11.8314	12.5035
0.5%	5.27	5	0.671846	11.8316	12.5035
0.5%	5.28	5	0.671654	11.8318	12.5035
0.5%	5.29	5	0.671557	11.8319	12.5035
0.5%	5.3	5	0.671558	11.8319	12.5035
0.5%	5.31	5	0.67166	11.8318	12.5035
0.5%	5.32	5	0.671866	11.8316	12.5035
0.5%	5.33	5	0.672178	11.8313	12.5035
0.5%	5.34	5	0.672599	11.8309	12.5035
0.5%	5.35	5	0.673132	11.8304	12.5035
0.5%	5.36	5	0.673777	11.8297	12.5035
0.5%	5.37	5	0.674537	11.829	12.5035
0.5%	5.38	5	0.675413	11.8281	12.5035
0.5%	5.39	5	0.676407	11.8271	12.5035
